id,name,followers,pop
3BiFZY6zbND5L3MEM6niE6,Emapea,19418,51
39ZQx0618UYVBgGTDOJ2ds,FloFilz,49501,60
6x5HLaMcoxaULXpgN0NJbb,Flughand,29011,58
44insiIQApkRaCMIbuaISJ,Joey Pecoraro,107657,63
6M6LWvHKgBle8SUtSpq6SU,iamalex,11223,59
38lJ5B9ZBk3zsRKEf3oG2R,Konteks,6877,55
6N4HlHINMvoTyAL0yhBUCk,Saib,106703,66
6f2Y46Pw2IYGoURJREJDiA,ØDYSSEE,11585,58
69cjjIQEN8M6heOBT2SqZE,Wun Two,68597,63
6cN5TvotJoRbhYHoCHw8BI,Smoke Trees,20999,53
0YAkOkbeAPiS35qyouiM4O,Oatmello,15195,62
2V9zpugQCHRiu2lPjsUM6d,mt. fujitive,37681,57
0DrshpbzI0ItncVhYZ2BtW,BROCKBEATS,18691,51
2cg9jlWp1QRc0Sk6kTp9Ez,Stan Forebee,13404,55
5NlA3ayVBDY3uDCCEZ1dID,Rook1e,89183,66
4ApyJoQGYHAcMtJEvK5tRx,steezy prime,9123,55
3GlCVMFRzrZ3FGtt4apejf,Bonus Points,15856,47
4pwqNyMSvuv7VOhQBdjB6Q,eevee,140861,64
4Z5eM7HLu4b0LAKrywoWR2,Kendall Miles,15529,55
3qRe4C6xUFaW1GXJsRC4oi,Misc.Inc,9945,56
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,19759149,89
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,8845650,82
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,5637232,82
163tK9Wjr9P9DmM0AVK7lm,Lorde,7597723,81
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,21503857,86
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,15722231,85
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,27245240,90
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,4581455,77
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,12652762,76
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,15049750,90
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,5229945,80
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,3863307,84
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,7226637,82
6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,6480572,72
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,10382690,81
6LqNN22kT3074XbTVUrhzX,Kesha,6360057,82
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,7640438,79
26VFTg2z8YR0cCuwLzESi2,Halsey,14917933,89
7nU4hB040gTmHm45YYMvqc,Hannah Montana,3386583,70
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,6754120,79
4iMO20EPodreIaEl8qW66y,Still Woozy,650074,75
6sHCvZe1PHrOAuYlwTLNH4,Gus Dapperton,391964,72
6Sa4YbwEdGlfVSJMF1Lp67,Roy Blair,209226,56
0NIPkIjTV8mB795yEIiPYL,Wallows,1858698,78
3l0CmX0FuQjFxr8SK7Vqag,Clairo,2526885,83
3BBCgZVbXFRzcnT1ewVfRt,TEMPOREX,205535,59
5mqguTgtaoCMNMZD6txCh6,Phum Viphurit,352052,60
0fTav4sBLmYOAzKuJw0grL,Mac Ayres,387063,66
3K2Srho6NCF3o9MswGR76H,Bakar,176057,69
5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,387591,70
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,706705,70
0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,553016,71
4ClziihVpBeFXNyDH83Lde,UMI,528601,70
1dy5WNgIKQU6ezkpZs4y8z,ROLE MODEL,252621,68
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,2643643,90
0ubGY2CcC0tvR0eE6hJaT8,Charlie Burg,85836,61
4ub2v80S4RIceZRGnlhjTr,Jakob,190979,61
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,519512,79
2G8UkPZnQ8i78L8TfqP1X6,Christian Leave,259180,68
0ZUvK7zGdXLd78mQr3t1Tw,Ricky Montgomery,626390,77
7DuTB6wdzqFJGFLSH17k8e,Bhad Bhabie,2612513,69
3u579Gdap91lMptBSdXTpf,Kash Doll,847564,63
4guK7U9J36z76E1tWecJ0J,Asian Doll,440294,58
0XIKGBo9PnK1ApI5tZA60d,DaniLeigh,727698,70
37hAfseJWi0G3Scife12Il,City Girls,1489144,77
7Gkyjs2OYQpJdOvvmwIz2Z,Pardison Fontaine,126224,58
2OaHYHb2XcFPvqL3VsyPzU,Rico Nasty,723403,73
4kYSro6naA4h99UJvo89HB,Cardi B,16209980,90
7gWumE1wMALHXANLSIt054,Dreezy,585251,61
44IvvHRk2XF243QLA2VOa8,Stunna 4 Vegas,577442,71
3Y2MLcrD3ZQXRXmtn4fZQx,SpotemGottem,91635,75
3MdXrJWsbVzdn6fe5JYkSQ,Latto,524534,72
6AMd49uBDJfhf30Ak2QR5s,Coi Leray,188576,75
4fpTMHe34LC5t3h5ztK8qu,The Carters,1105027,62
4o4tLTIJ3eWMFerz73atcT,Qveen Herby,298310,65
4lPl9gqgox3JDiaJ1yklKh,Tierra Whack,344037,67
0DtXHIvJ8NWBg5pGvsgWnR,Leikeli47,187131,58
6veh5zbFpm31XsPdjBgPER,BIA,103027,73
7meyrw7Or5DwteYxDJrkCM,YK Osiris,1119469,66
6JTiPLdbZD2e0tDsN15U1s,Đông Nhi,198658,38
3x6FwiNj93pnxxMDNRA1IR,Hồ Quang Hiếu,187031,38
4e5LAUvM35jleGg8gElTsP,Miu Lê,177983,50
35HU1GT1q797EwZsP8uduO,Mr.Siro,351981,45
4qnRWrsA4QoiuNSxwoJYwq,Vy Oanh,104883,32
41BwyRR0cpLvcEi7bQkMy6,Khoi My,148588,25
78TTKBLrw5XIRty0KnyftQ,Minh Vuong M4u,137828,32
63SNH9m8M034lCGELVC1dm,Văn Mai Hương,144951,51
3mibIJiduF0MVLLAvHZAxw,Noo Phước Thịnh,481199,51
4DPEUF2kY7kVrbXX4Zgu7S,Bảo Thy,109237,32
2O80TFPHgMkNQ3Unwa401Y,Chu Bin,56531,29
2VUAd7F7SCWs7gYMGAQVxK,Cao Thai Son,92552,36
24Wn81dwdDeTCuB1BWGoVJ,Hồ Ngọc Hà,337733,43
0r63ReVRjxrS4ATbLrdcrL,Hoang Thuy Linh,397359,54
0l3YAI1xmZKCZBzduST5ft,Thùy Chi,321849,48
6Sz9jchJpz8HyBTtkPvYDT,Khanh Phuong,106738,39
5fa13NJjmn2uQ3dxZDi2Ge,Bich Phuong,922157,55
2KUMXzsDcJqXZW0CRh07zP,Uyên Linh,107241,53
7eNVs44Liz46dWLt9LAONW,Duong Trieu Vu,29831,29
7luDDYsfkSivBsoTz3BKMq,Khac Viet,177285,43
73eAAfRkS2Vi4hx68oTJJE,John K,107533,71
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,1601415,82
5qa31A9HySw3T7MKWI9bGg,FLETCHER,440300,74
5xkAtLTf309LAGZTbvULBn,Ruel,1483176,75
4xnihxcoXWK3UqryOSnbw5,Sasha Sloan,849967,78
5JMLG56F1X5mFmWNmS0iAp,Chelsea Cutler,442008,80
37M5pPGs6V1fchFJSgCguX,FINNEAS,1211984,78
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,2757370,78
7LImGq5KnzQobZciDJpeJb,Charlotte Lawrence,739906,69
6dn6x1XOng3LOAnfTjUn77,AJ Mitchell,583111,73
3mPc8WGusz2XF3Tvs3AKCR,Carlie Hanson,279258,58
5fywYLnKJi950Y5yMqavxm,Etham,150311,58
0xu4jAQQv7ZAqvFGdc9HgP,Boy In Space,125861,67
6sFHvCyqklnJpXC9Nh1aag,Alexander 23,180398,74
7naAJDAh7AZnf18YYfQruM,Christian French,182773,66
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,2650832,81
1QRj3hoop9Mv5VvHQkwPEp,Olivia O'Brien,1441662,77
45dkTj5sMRSjrmBSBeiHym,Tate McRae,1431873,85
5Y8eJDj37KhaEeqbVO7Ag1,PRETTYMUCH,1060316,70
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,4244809,81
30DhU7BDmF4PH0JVhu8ZRg,Sabrina Claudio,1103614,70
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,4643948,83
7jZMxhsB8djyIbYmoiJSTs,Kiana Ledé,929731,72
3Y7RZ31TRPVadSFVy1o8os,H.E.R.,3814995,84
57LYzLEk2LcFghVwuWbcuS,Summer Walker,2298488,82
6hfwwpXqZPRC9CsKI7qtv1,Alina Baraz,859725,73
3KedxarmBCyFBevnqQHy3P,Jessie Reyez,941938,75
7HkdQ0gt53LP4zmHsL0nap,Ella Mai,3575058,76
1W7FNibLa0O0b572tB2w7t,Pink Sweat$,766466,80
3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy,356244,73
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,4875719,82
1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith,2113259,81
7mDU6nMUJnOSY2Hkjz5oqM,Roy Woods,762001,71
2cFrymmkijnjDg9SS92EPM,blackbear,4126200,88
360IAlyVv4PCEVjgyMZrxK,Miguel,3415951,83
4D75GcNG95ebPtNvoNVXhz,Afrojack,3647467,80
4AVFqumd2ogHFlRbKIjp1t,Alesso,3615364,81
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,3275434,72
6BrvowZBreEkXzJQMpL174,Hardwell,3429369,72
5ChF3i92IPZHduM7jN3dpg,Nicky Romero,2052176,71
2qxJFvFYMEDqd7ui6kSAcq,Zedd,5451657,82
2XnBwblw31dfGnspMIwgWz,Axwell /\ Ingrosso,2290139,72
4sTQVOfp9vEMCemLw50sbu,Galantis,3084242,79
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3232589,81
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,14664233,84
6lB8vOoI4DRrrVxXwuV19c,Mike Perry,1160824,71
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,1086679,77
1l2ekx5skC4gJH8djERwh1,Don Diablo,1731637,76
5wwneIFdawNgQ7GvKK29Z3,Lucas & Steve,383920,73
3tLYpanVDomWAZqF82NPds,Vigiland,256300,69
6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,2187139,83
1bj5GrcLom5gZFF5t949Xl,Martin Solveig,1172756,73
