Rank,Song Title,Artist,New To Chart,Peak Position,Position Last Week,Weeks On Chart
1,Save Your Tears,The Weeknd & Ariana Grande,False,1,1,21
2,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),False,1,2,9
3,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,False,1,3,7
4,Levitating,Dua Lipa Featuring DaBaby,False,4,5,31
5,Kiss Me More,Doja Cat Featuring SZA,False,5,6,4
6,Rapstar,Polo G,False,1,4,4
7,Astronaut In The Ocean,Masked Wolf,False,7,8,12
8,Without You,The Kid LAROI & Miley Cyrus,False,8,23,22
9,Montero (Call Me By Your Name),Lil Nas X,False,1,7,6
10,Your Power,Billie Eilish,True,10,0,1
11,Blinding Lights,The Weeknd,False,1,11,74
12,Up,Cardi B,False,1,9,13
13,Calling My Phone,Lil Tjay Featuring 6LACK,False,3,14,12
14,Drivers License,Olivia Rodrigo,False,1,10,17
15,Deja Vu,Olivia Rodrigo,False,8,12,5
16,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,False,12,13,16
17,Best Friend,Saweetie Featuring Doja Cat,False,14,16,17
18,On Me,Lil Baby,False,15,15,22
19,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,False,18,18,9
20,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,True,20,0,1
21,My Ex's Best Friend,Machine Gun Kelly X blackbear,False,21,21,38
22,Heartbreak Anniversary,Giveon,False,17,17,12
23,Forever After All,Luke Combs,False,2,29,28
24,Mood,24kGoldn Featuring iann dior,False,1,20,39
25,Back In Blood,Pooh Shiesty Featuring Lil Durk,False,13,22,18
26,What You Know Bout Love,Pop Smoke,False,9,19,35
27,The Good Ones,Gabby Barrett,False,19,24,19
28,Go Crazy,Chris Brown & Young Thug,False,3,25,52
29,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,False,2,27,27
30,Sorry Not Sorry,"DJ Khaled Featuring Nas, JAY-Z & James Fauntleroy",True,30,0,1
31,Track Star,Mooski,False,31,37,11
32,Made For You,Jake Owen,False,32,43,11
33,Therefore I Am,Billie Eilish,False,2,32,26
34,Heat Waves,Glass Animals,False,34,42,16
35,You Broke Me First.,Tate McRae,False,17,26,37
36,Hell Of A View,Eric Church,False,28,28,17
37,Positions,Ariana Grande,False,1,34,28
38,Dakiti,Bad Bunny & Jhay Cortez,False,5,33,27
39,We're Good,Dua Lipa,False,38,41,12
40,Breaking Up Was Easy In The 90's,Sam Hunt,False,40,46,10
41,Time Today,Moneybagg Yo,False,31,31,13
42,Wants And Needs,Drake Featuring Lil Baby,False,2,39,9
43,I Did It,"DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",True,43,0,1
44,You're Mines Still,Yung Bleu Featuring Drake,False,18,40,22
45,What's Next,Drake,False,1,30,9
46,Telepatia,Kali Uchis,False,39,49,11
47,What's Your Country Song,Thomas Rhett,False,29,55,20
48,Ski,Young Thug & Gunna,False,18,38,3
49,Good Days,SZA,False,9,44,19
50,Goosebumps,Travis Scott & HVME,False,47,48,16
51,No More Parties,Coi Leray Featuring Lil Durk,False,26,47,13
52,Solid,Young Thug & Gunna Featuring Drake,False,12,36,3
53,Streets,Doja Cat,False,16,51,17
54,Let It Go,DJ Khaled Featuring Justin Bieber & 21 Savage,True,54,0,1
55,pov,Ariana Grande,False,40,66,9
56,Settling Down,Miranda Lambert,False,56,58,8
57,Wockesha,Moneybagg Yo,False,57,59,2
58,Tombstone,Rod Wave,False,11,50,7
59,Just The Way,Parmalee x Blanco Brown,False,31,56,19
60,Hold On,Justin Bieber,False,20,57,9
61,Lil Bit,Nelly & Florida Georgia Line,False,61,67,7
62,Shottas (Lala),Moneybagg Yo,False,35,35,2
63,Gone,Dierks Bentley,False,63,68,8
64,Nobody,Dylan Scott,False,64,69,10
